BatchID,Angle,Action,Processed_Longitude,Processed_Latitude,Processed_Elevation,Is_Original
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.77751756440281,,-31185.497398949694,13489.461559155985,-10979.615047856234,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.8243559718969555,,-30891.10802939441,13410.674836710532,-10801.096431208774,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.871194379391101,,-30559.994859581813,13334.843363846187,-10750.35409449786,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.918032786885246,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-30235.239934050478,13258.457121763087,-10677.496018222533,true
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,4.964871194379391,,-30326.011507540243,13069.925348798512,-10711.126402483322,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.0117096018735365,,-30390.834804142592,12883.520127128228,-10835.072017807513,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.058548009367682,,-30492.423109093914,12694.152729862777,-10831.227045121603,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.105386416861827,,-30637.124150069663,12501.32089079023,-10677.490483533591,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.152224824355972,,-30713.889399003936,12314.011656133778,-10760.115434373729,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.1990632318501175,,-30819.95502883685,12124.35647862681,-10740.89011214301,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.245901639344263,,-30938.468590768753,11933.722762220714,-10678.424459321424,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.292740046838408,,-31025.239307449665,11745.67172953207,-10726.453615801409,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.339578454332553,,-31174.444677049294,11552.621919348225,-10557.328196667135,false
